"LISTING","PRICE","SOLD 24H","VIEWS 24H","TOTAL SOLD","REVENUE","CONVERSION","SHOP SALES","AGE","SCORE","COUNTRY"
"Personalized Embroidered Floral Baby Name Hoop, Baby Name Reveal Sign Heirloom, Baby Name Wall Decor, Baby Shower Gift, Newborn Keepsake","$26.5","3","550","73","$1,934.5","1.2%","6","1 month","0.0","VN"
"Custom Bestie Photo Fridge Magnet, Custom Best Friend Birthday Gift, BFF Gift, Friendship Gift, Gifts For Bestie, Soul Sister Gift","$22.2","3","95","85","$1,887","4.1%","13","1 month","0.0","VN"
"Handcrafted Godzilla & Submarine Resin Lamp - Epic Monster Decor","$120","0","25","15","$1,800","2.4%","3","1 month","0.0","VN"
"Embroidered Cartoon Mouse and Friends Halloween Shirt, Magical Land Creepy Vibes Tee, Family Halloween Trip Shirt, Mouse Boo Spooky Shirt","$29.95","1","37","59","$1,767.05","2.7%","10","1 month","0.0","VN"
"Custom Embroidered Wedding Guest Book, Personalized Swans Linen Photo Album, Polaroid Guestbook Notebook, Bridal Shower Gift","$41","5","292","42","$1,722","1.6%","21","1 month","0.0","VN"
"Sophie Cunningham & Caitlin Clark Shirt, Comfort Colors® Basketball Graphic Tee, Sport Fan Gift","$18.99","2","115","89","$1,690.11","2.4%","21","1 month","0.0","VN"
"Custom School Spirit Jersey, Custom Grade Teacher Jersey, Back to School Baseball Tee, Elementary Teacher Gift","$21.05","8","119","77","$1,620.85","2.1%","8","1 month","0.0","VN"
"Personalized Teacher Jersey, Custom Name Number Football Jersey, First Grade Teacher Shirt, Back To School Gift, Teacher Team Game Day Tee","$42.39","1","19","38","$1,610.82","1.6%","3","1 month","0.0","VN"
"Autumn Wedding Embroidered Converse Shoes, Custom Bride Sneakers, Hand Embroidered Leaf Floral Bridal High Tops, Personalized Fall Gift Shoe","$107.23","1","221","15","$1,608.49","0.7%","8","1 month","0.0","VN"
"Pennant Name Embroidered Keychain, Personalized Fabric Patch Key Ring, Custom Backpack Name Tag, Colorful Bag Charm, Small Gift","$24.98","12","346","63","$1,573.74","1.2%","7","25 days ago","0.0","VN"
"Personalized Book Tavern Lamp, Custom Bookshelf Ghost Light, Book Nook Decor","$25.97","1","158","58","$1,506.26","1.9%","11","27 days ago","0.0","VN"
"Personalized Couple Metal Sign, Custom Photo Anniversary Gift, Funny Marriage Gift, Rustic Wall Decor for Husband or Wife","$35.46","2","151","41","$1,454","2.9%","1","29 days ago","0.0","VN"
"Manacled Deluxe 3-Volume Hardcover Set with Illustrations – Exclusive Poster Gift Set Included 023Q","$241.27","0","0","6","$1,447.64","6.9%","0","1 month","0.0","VN"
"Personalized Wildflower Name Sign, 2 Layer Wood Nursery Decor, Floral Butterfly Baby Girl Wall Art, Newborn Gift, New Mom Dad, Baptism Gift","$32.82","3","695","44","$1,444.08","1.3%","3","1 month","0.0","VN"
"Personalized Back To School Ruffle Dress, First Day Of School Dress, Apple Pencil Outfit, Monogram Apple Kids Dress, Kids Birthday Outfit","$34.47","3","63","41","$1,413.17","3.2%","16","1 month","0.0","VN"
"Embroidered Star Hollow Sweatshirt, Where You Lead I Will Follow Shirt, Autumn Movie Series Crewneck, Autumn Festival Gift","$35.54","1","185","38","$1,350.52","1.3%","25","28 days ago","0.0","VN"
"Embroidered Custom Mascot Quarter Zip Sweatshirt, School Spirit Shirt, Personalized Gingham College Shirt, Back To School Tee, Game Day Gift","$54.63","1","213","24","$1,311.12","0.9%","30","1 month","0.0","VN"
"Custom Embroidered 6-Ring Binder Recipe Book, Hand Embroidered Recipe Binder Journal, Binder 6-Ring A5 Book With Linen Cover, Gift For Her","$76.21","0","0","17","$1,295.6","4.2%","8","1 month","0.0","VN"
"Arirang World Tour Baseball Jersey, Custom Kpop Concert Fan Shirt, Personalized Name Number Music Jersey","$18.5","1","38","70","$1,295","3.4%","12","27 days ago","0.0","VN"
